sheet,address,formula,functions,referenced_sheets
Staffing February,C71,=SUM(B71*B58),SUM,
Staffing February,D71,=SUM(B71/G$18),SUM,
Staffing February,C80,=SUM(B80*B68),SUM,
Staffing March,A2,=A21,,
Staffing March,B2,=SUM(B21),SUM,
Staffing March,E2,"=SUMIF(C21:AG21, "">0"")/COUNTIF(C21:AG21, "">0"")",COUNTIF;SUMIF,
Staffing March,H2,=SUM(E2-B2),SUM,
Staffing March,U2,='Daily Census IP 2012'!G43,,Daily Census IP 2012
Staffing March,X3,=SUM(C33:AG33),SUM,
Staffing March,AA3,=B82,,
Staffing March,AD3,=SUM(X3*AA3),SUM,
Staffing March,AB6,=SUM(AD3:AD5),SUM,
Staffing March,Z8,=SUM(C37:AG37),SUM,
Staffing March,AD8,=B58,,
Staffing March,AF8,='Daily Census IP 2012'!A46,,Daily Census IP 2012
Staffing March,Z9,=SUM(C36:AG36),SUM,
Staffing March,Z10,=SUM(Z11)*(AD10),SUM,
Staffing March,Z11,=B32,,
Staffing March,AF12,='Daily Census IP 2012'!A49,,Daily Census IP 2012
Staffing March,X13,=SUM(B40/B53),SUM,
Staffing March,Z13,=SUM(B45/B53),SUM,
Staffing March,AB13,=SUM(B44/B53),SUM,
Staffing March,AD13,=SUM(B46:B52)/SUM(B53),SUM,
Staffing March,Y14,=B44,,
Staffing March,Z14,=SUM(Y14*AF12),SUM,
Staffing March,AB14,='2012 YTD Summary'!O13,,2012 YTD Summary
Staffing March,AE14,='2012 YTD Summary'!O33,,2012 YTD Summary
Staffing March,A17,=G18,,
Staffing March,G17,=M18,,
Staffing March,G18,='Daily Census IP 2012'!AH11,,Daily Census IP 2012
Staffing March,M18,='Daily Census IP 2012'!AI10,,Daily Census IP 2012
Staffing March,O18,='Daily Census IP 2012'!A2,,Daily Census IP 2012
Staffing March,Z18,=G18,,
Staffing March,AF18,=M18,,
Staffing March,B19,=U2,,
Staffing March,C19,='Daily Census IP 2012'!B10,,Daily Census IP 2012
Staffing March,D19,='Daily Census IP 2012'!C10,,Daily Census IP 2012
Staffing March,E19,='Daily Census IP 2012'!D10,,Daily Census IP 2012
Staffing March,F19,='Daily Census IP 2012'!E10,,Daily Census IP 2012
Staffing March,G19,='Daily Census IP 2012'!F10,,Daily Census IP 2012
Staffing March,H19,='Daily Census IP 2012'!G10,,Daily Census IP 2012
Staffing March,I19,='Daily Census IP 2012'!H10,,Daily Census IP 2012
Staffing March,J19,='Daily Census IP 2012'!I10,,Daily Census IP 2012
Staffing March,K19,='Daily Census IP 2012'!J10,,Daily Census IP 2012
Staffing March,L19,='Daily Census IP 2012'!K10,,Daily Census IP 2012
Staffing March,M19,='Daily Census IP 2012'!L10,,Daily Census IP 2012
Staffing March,N19,='Daily Census IP 2012'!M10,,Daily Census IP 2012
Staffing March,O19,='Daily Census IP 2012'!N10,,Daily Census IP 2012
Staffing March,P19,='Daily Census IP 2012'!O10,,Daily Census IP 2012
Staffing March,Q19,='Daily Census IP 2012'!P10,,Daily Census IP 2012
Staffing March,R19,='Daily Census IP 2012'!Q10,,Daily Census IP 2012
Staffing March,S19,='Daily Census IP 2012'!R10,,Daily Census IP 2012
Staffing March,T19,='Daily Census IP 2012'!S10,,Daily Census IP 2012
Staffing March,U19,='Daily Census IP 2012'!T10,,Daily Census IP 2012
Staffing March,V19,='Daily Census IP 2012'!U10,,Daily Census IP 2012
Staffing March,W19,='Daily Census IP 2012'!V10,,Daily Census IP 2012
Staffing March,X19,='Daily Census IP 2012'!W10,,Daily Census IP 2012
Staffing March,Y19,='Daily Census IP 2012'!X10,,Daily Census IP 2012
Staffing March,Z19,='Daily Census IP 2012'!Y10,,Daily Census IP 2012
